# REMOVE from the cn category: delegated to a non-CN country per RIR data.
# Owners include Apple (17/8), Cloudflare (104.28/16), AWS, Microsoft, Cisco, Nokia, Siemens.
107.176.0.0/15  # US:131072
17.94.64.0/18  # US:16384
17.94.128.0/18  # US:16384
117.128.0.0/10  # PK:16384
17.93.96.0/19  # US:8192
17.94.32.0/19  # US:8192
17.94.192.0/19  # US:8192
17.85.192.0/20  # US:4096
17.93.48.0/20  # US:4096
17.93.64.0/20  # US:4096
17.93.208.0/20  # US:4096
17.94.16.0/20  # US:4096
17.94.224.0/20  # US:4096
17.235.160.0/20  # US:4096
40.0.176.0/20  # US:4096
17.87.0.0/21  # US:2048
17.87.24.0/21  # US:2048
17.87.112.0/21  # US:2048
17.93.8.0/21  # US:2048
17.93.24.0/21  # US:2048
17.93.136.0/21  # US:2048
17.93.152.0/21  # US:2048
17.93.184.0/21  # US:2048
17.93.200.0/21  # US:2048
17.93.232.0/21  # US:2048
17.94.240.0/21  # US:2048
40.0.248.0/21  # US:2048
40.198.16.0/21  # US:2048
157.133.192.0/21  # US:2048
161.163.0.0/21  # US:2048
168.159.144.0/21  # US:2048
15.36.64.0/22  # US:1024
15.36.76.0/22  # US:1024
15.79.88.0/22  # US:1024
15.89.164.0/22  # US:1024
17.87.20.0/22  # US:1024
17.93.224.0/22  # US:1024
72.163.248.0/22  # US:1024
168.159.152.0/22  # US:1024
203.65.240.0/22  # TW:1024
15.32.104.0/23  # US:512
15.36.116.0/23  # US:512
15.40.80.0/23  # US:512
16.2.142.0/23  # US:512
17.87.10.0/23  # US:512
17.87.12.0/23  # US:512
17.87.18.0/23  # US:512
17.88.108.0/23  # US:512
17.127.128.0/23  # US:512
40.198.24.0/23  # US:512
46.248.24.0/23  # NL:512
72.163.240.0/23  # US:512
128.107.24.0/23  # US:512
130.36.146.0/23  # US:512
130.214.218.0/23  # US:512
131.228.96.0/23  # FI:512
150.222.88.0/23  # US:512
155.126.176.0/23  # US:512
156.154.62.0/23  # US:512
157.133.186.0/23  # US:512
161.163.28.0/23  # US:512
168.159.156.0/23  # US:512
173.39.200.0/23  # US:512
180.92.176.0/23  # AU:512
194.138.202.0/23  # DE:512
198.208.112.0/23  # US:512
1.18.128.0/24  # KR:256
15.36.75.0/24  # US:256
15.36.101.0/24  # US:256
15.36.102.0/24  # US:256
15.40.83.0/24  # US:256
15.230.41.0/24  # US:256
15.230.49.0/24  # US:256
15.230.141.0/24  # US:256
17.87.9.0/24  # US:256
17.87.17.0/24  # US:256
17.87.245.0/24  # US:256
17.88.75.0/24  # US:256
17.127.130.0/24  # US:256
40.198.10.0/24  # US:256
40.251.225.0/24  # US:256
40.251.227.0/24  # US:256
54.240.224.0/24  # US:256
66.119.149.0/24  # US:256
87.254.207.0/24  # FI:256
93.183.14.0/24  # FI:256
93.183.18.0/24  # FI:256
103.13.145.0/24  # US:256
103.13.147.0/24  # US:256
103.22.157.0/24  # PH:256
109.71.4.0/24  # NL:256
132.237.134.0/24  # US:256
140.242.223.0/24  # US:256
140.242.224.0/24  # US:256
144.36.147.0/24  # US:256
146.222.79.0/24  # US:256
146.222.81.0/24  # US:256
146.222.94.0/24  # US:256
150.222.64.0/24  # US:256
156.107.160.0/24  # US:256
156.107.170.0/24  # US:256
156.107.179.0/24  # US:256
156.107.181.0/24  # US:256
158.26.192.0/24  # US:256
158.26.194.0/24  # US:256
160.83.110.0/24  # US:256
163.244.246.0/24  # US:256
168.159.158.0/24  # US:256
192.23.191.0/24  # US:256
192.56.99.0/24  # US:256
192.137.31.0/24  # US:256
192.163.11.0/24  # US:256
192.232.97.0/24  # US:256
194.138.136.0/24  # DE:256
194.138.245.0/24  # DE:256
198.208.17.0/24  # US:256
198.208.19.0/24  # US:256
198.208.30.0/24  # US:256
198.208.61.0/24  # US:256
198.208.63.0/24  # US:256
198.208.67.0/24  # US:256
199.244.144.0/24  # US:256
202.41.142.0/24  # NZ:256
202.136.255.0/24  # AU:256
204.55.160.0/24  # US:256
213.199.169.0/24  # GB:256
17.85.34.0/25  # US:128
17.85.164.128/25  # US:128
