# REVIEW: registered to Singapore/Hong Kong entities of Alibaba and Tencent.
# Defensible as 'Chinese company', wrong as 'physically in China'. Routing these
# DIRECT sends traffic to their OVERSEAS infrastructure on the user's real IP.
43.0.0.0/10  # SG:4194304
8.160.0.0/11  # SG:2097152
8.128.0.0/12  # SG:1048576
43.64.0.0/12  # SG:1048576
43.112.0.0/12  # SG:1048576
8.152.0.0/13  # SG:524288
43.80.0.0/13  # SG:524288
43.104.0.0/13  # SG:524288
8.144.0.0/14  # SG:262144
43.100.0.0/14  # SG:262144
43.168.0.0/14  # SG:262144
8.150.0.0/15  # SG:131072
43.88.0.0/15  # SG:131072
43.94.0.0/15  # SG:131072
43.98.0.0/15  # SG:131072
43.144.0.0/13  # SG:131072
8.149.0.0/16  # SG:65536
43.90.0.0/16  # SG:65536
43.93.0.0/16  # SG:65536
43.97.0.0/16  # SG:65536
142.70.0.0/16  # SG:65536
8.148.128.0/17  # SG:32768
43.92.0.0/17  # SG:32768
43.96.128.0/17  # SG:32768
43.172.128.0/17  # SG:32768
8.148.64.0/18  # SG:16384
43.164.64.0/18  # SG:16384
43.172.64.0/18  # SG:16384
43.174.128.0/18  # SG:16384
8.148.0.0/19  # SG:8192
43.135.224.0/19  # SG:8192
43.166.192.0/19  # SG:8192
43.172.32.0/19  # SG:8192
8.148.48.0/20  # SG:4096
43.96.48.0/20  # SG:4096
43.96.112.0/20  # SG:4096
43.172.16.0/20  # SG:4096
43.174.112.0/20  # SG:4096
43.174.208.0/20  # SG:4096
43.96.104.0/21  # SG:2048
43.152.120.0/21  # SG:2048
43.172.0.0/21  # SG:2048
43.174.232.0/21  # SG:2048
43.174.240.0/21  # SG:2048
199.65.192.0/21  # SG:2048
8.148.32.0/22  # SG:1024
8.148.44.0/22  # SG:1024
43.96.44.0/22  # SG:1024
43.96.92.0/22  # SG:1024
43.96.100.0/22  # SG:1024
43.172.8.0/22  # SG:1024
43.174.108.0/22  # SG:1024
43.174.228.0/22  # SG:1024
43.174.252.0/22  # SG:1024
103.103.68.0/22  # HK:1024
113.197.104.0/22  # SG:1024
8.148.36.0/23  # SG:512
43.96.30.0/23  # SG:512
43.96.42.0/23  # SG:512
43.96.86.0/23  # SG:512
43.96.90.0/23  # SG:512
43.96.98.0/23  # SG:512
43.152.38.0/23  # SG:512
43.152.118.0/23  # SG:512
43.172.12.0/23  # SG:512
43.174.226.0/23  # SG:512
103.38.252.0/23  # HK:512
103.159.80.0/23  # SG:512
162.62.240.0/23  # SG:512
202.1.86.0/23  # SG:512
202.1.90.0/23  # SG:512
202.1.110.0/23  # SG:512
202.1.112.0/23  # SG:512
8.148.38.0/24  # SG:256
8.148.42.0/24  # SG:256
43.96.6.0/24  # SG:256
43.96.37.0/24  # SG:256
43.96.38.0/24  # SG:256
43.96.41.0/24  # SG:256
43.96.79.0/24  # SG:256
43.96.82.0/24  # SG:256
43.96.89.0/24  # SG:256
43.152.16.0/24  # SG:256
43.152.46.0/24  # SG:256
43.152.48.0/24  # SG:256
43.152.141.0/24  # SG:256
43.152.165.0/24  # SG:256
43.152.167.0/24  # SG:256
43.152.189.0/24  # SG:256
43.152.191.0/24  # SG:256
43.159.66.0/24  # SG:256
43.159.68.0/24  # SG:256
43.159.75.0/24  # SG:256
43.159.76.0/24  # SG:256
43.159.92.0/24  # SG:256
43.159.101.0/24  # SG:256
43.172.14.0/24  # SG:256
43.174.107.0/24  # SG:256
43.174.202.0/24  # SG:256
43.175.223.0/24  # SG:256
45.120.182.0/24  # HK:256
103.41.127.0/24  # HK:256
103.49.212.0/24  # HK:256
103.49.214.0/24  # HK:256
103.73.99.0/24  # HK:256
103.129.55.0/24  # HK:256
103.161.139.0/24  # HK:256
162.62.242.0/24  # SG:256
202.1.105.0/24  # SG:256
202.1.106.0/24  # SG:256
202.76.247.0/24  # SG:256
202.95.3.0/24  # SG:256
45.120.180.128/27  # HK:32
103.232.17.168/29  # HK:8
203.160.70.196/31  # HK:2
203.160.70.208/31  # HK:2
103.55.5.35/32  # HK:1
103.55.5.73/32  # HK:1
